date,CMA
2005-12-14,675.0
2005-12-15,675.0
2005-12-16,690.0
2005-12-19,693.5
2005-12-20,695.0
2005-12-22,690.0
2005-12-23,694.0
2005-12-26,691.5
2005-12-27,682.5
2005-12-28,690.5
2005-12-29,718.0
2005-12-30,714.5
2006-01-03,714.5
2006-01-04,715.5
2006-01-05,725.0
2006-01-06,725.0
2006-01-09,728.5
2006-01-10,757.0
2006-01-13,762.5
2006-01-16,760.0
2006-01-17,750.0
2006-01-18,790.0
2006-01-19,760.5
2006-01-20,760.5
2006-01-23,775.0
2006-01-24,791.0
2006-01-25,795.0
2006-01-26,795.0
2006-01-27,800.5
2006-01-30,847.5
2006-02-01,847.0
2006-02-02,845.0
2006-02-03,830.0
2006-02-06,850.0
2006-02-07,900.0
2006-02-08,890.5
2006-02-09,895.0
2006-02-10,900.0
2006-02-13,850.5
2006-02-14,847.5
2006-02-15,847.5
2006-02-16,806.0
2006-02-17,808.0
2006-02-20,825.0
2006-02-21,835.0
2006-02-22,850.0
2006-02-23,850.0
2006-02-24,875.0
2006-02-27,855.0
2006-02-28,855.5
2006-03-01,869.5
2006-03-03,875.0
2006-03-07,881.0
2006-03-08,875.0
2006-03-09,862.5
2006-03-10,887.5
2006-03-13,875.0
2006-03-14,858.0
2006-03-15,850.0
2006-03-17,895.0
2006-03-20,895.0
2006-03-21,900.0
2006-03-23,925.5
2006-03-24,931.0
2006-03-27,965.0
2006-03-28,965.0
2006-03-29,965.0
2006-03-30,940.0
2006-04-03,960.0
2006-04-04,975.0
2006-04-05,975.5
2006-04-06,975.5
2006-04-07,976.5
2006-04-10,1001.0
2006-04-13,1001.0
2006-04-17,1001.0
2006-04-18,1008.0
2006-04-19,1034.0
2006-04-20,1020.0
2006-04-25,1050.0
2006-04-26,1050.0
2006-04-27,1100.0
2006-04-28,1100.0
2006-05-02,1135.0
2006-05-03,1135.0
2006-05-04,1157.0
2006-05-05,1175.0
2006-05-08,1245.5
2006-05-09,1280.0
2006-05-10,1209.0
2006-05-11,1250.0
2006-05-12,1185.0
2006-05-15,1175.0
2006-05-16,1105.0
2006-05-17,1160.0
2006-05-18,1147.5
2006-05-19,1144.5
2006-05-22,1076.0
2006-05-23,1050.0
2006-05-24,1075.0
2006-05-25,1011.5
2006-05-26,1011.5
2006-05-30,1011.5
2006-06-01,1010.0
2006-06-02,1010.5
2006-06-06,995.0
2006-06-07,950.0
2006-06-08,900.5
2006-06-09,920.0
2006-06-13,915.0
2006-06-14,915.0
2006-06-16,950.0
2006-06-19,1000.0
2006-06-20,1010.0
2006-06-26,1015.0
2006-06-27,1015.0
2006-06-28,1050.0
2006-06-29,1060.0
2006-06-30,1078.0
2006-07-03,1085.0
2006-07-04,1135.0
2006-07-05,1160.0
2006-07-06,1170.0
2006-07-10,1170.0
2006-07-11,1200.0
2006-07-12,1200.0
2006-07-13,1200.0
2006-07-14,1200.0
2006-07-17,1195.0
2006-07-19,1185.0
2006-07-20,1115.5
2006-07-21,1105.0
2006-07-24,1165.0
2006-07-26,1100.0
2006-07-27,1075.0
2006-07-28,1025.5
2006-07-31,1002.5
2006-08-01,1005.0
2006-08-03,1035.0
