date,ALM
2006-09-07,1170.0
2006-09-11,1170.0
2006-09-12,1131.0
2006-09-13,1134.0
2006-09-14,1170.0
2006-09-15,1127.0
2006-09-18,1120.0
2006-09-20,1110.0
2006-09-22,1150.0
2006-09-25,1100.0
2006-09-26,1100.0
2006-09-27,1129.0
2006-10-03,1100.0
2006-10-04,1110.0
2006-10-05,1110.0
2006-10-06,1100.0
2006-10-16,1100.0
2006-10-18,990.0
2006-10-19,1010.0
2006-10-23,1070.0
2006-10-26,1015.0
2006-10-27,1000.0
2006-10-30,1020.0
2006-10-31,1021.0
2006-11-01,1021.0
2006-11-02,1000.0
2006-11-03,1000.0
2006-11-07,1000.0
2006-11-08,1000.0
2006-11-09,1000.0
2006-11-10,1000.0
2006-11-13,1000.0
2006-11-14,1007.0
2006-11-15,1000.0
2006-11-16,1005.0
2006-11-17,1005.0
2006-11-22,1010.0
2006-11-23,1000.0
2006-11-28,990.0
2006-11-29,1000.0
2006-12-01,982.0
2006-12-04,990.0
2006-12-06,982.0
2006-12-07,990.0
2006-12-08,990.0
2006-12-11,990.0
2006-12-12,1000.0
2006-12-13,991.0
2006-12-14,1000.0
2006-12-15,1000.0
2006-12-18,999.0
2006-12-19,979.0
2006-12-20,1000.0
2006-12-21,999.0
2006-12-26,975.0
2006-12-27,997.0
2006-12-29,997.0
2007-01-04,993.0
2007-01-05,955.0
2007-01-08,975.0
2007-01-09,985.0
2007-01-12,985.0
2007-01-15,985.0
2007-01-16,1000.0
2007-01-17,1000.0
2007-01-18,1030.0
2007-01-19,1030.0
2007-01-22,1010.0
2007-01-23,1000.0
2007-01-24,1010.0
2007-01-25,1030.0
2007-01-26,1060.0
2007-01-29,1060.0
2007-01-30,1094.0
2007-01-31,1100.0
2007-02-01,1080.0
2007-02-02,1080.0
2007-02-05,1100.0
2007-02-06,1120.0
2007-02-07,1180.0
2007-02-08,1185.0
2007-02-09,1185.0
2007-02-12,1182.0
2007-02-13,1179.0
2007-02-14,1179.0
2007-02-15,1194.0
2007-02-16,1247.0
2007-02-19,1300.0
2007-02-20,1300.0
2007-02-21,1252.0
2007-02-22,1177.0
2007-02-23,1170.0
2007-02-26,1200.0
2007-02-27,1225.0
2007-03-01,1225.0
2007-03-02,1201.0
2007-03-05,1202.0
2007-03-06,1220.0
2007-03-07,1238.0
2007-03-08,1250.0
2007-03-09,1210.0
2007-03-13,1249.0
2007-03-15,1248.0
2007-03-16,1200.0
2007-03-19,1199.0
2007-03-20,1200.0
2007-03-21,1201.0
2007-03-22,1200.0
2007-03-23,1200.0
2007-03-26,1200.0
2007-03-27,1200.0
2007-03-29,1210.0
2007-03-30,1247.0
2007-04-04,1239.0
2007-04-05,1239.0
2007-04-10,1238.0
2007-04-13,1230.0
2007-04-16,1235.0
2007-04-17,1230.0
2007-04-18,1234.0
2007-04-19,1245.0
2007-04-20,1240.0
2007-04-23,1200.0
2007-04-25,1210.0
2007-04-26,1200.0
2007-04-27,1200.0
2007-04-30,1199.0
2007-05-02,1200.0
2007-05-03,1199.0
2007-05-04,1200.0
2007-05-07,1177.0
2007-05-08,1177.0
2007-05-09,1171.0
2007-05-10,1130.0
2007-05-11,1131.0
2007-05-14,1070.0
2007-05-15,1100.0
2007-05-16,1102.0
2007-05-17,1168.0
2007-05-18,1167.0
2007-05-22,1167.0
2007-05-23,1150.0
2007-05-24,1150.0
2007-05-29,1105.0
2007-05-31,1145.0
2007-06-05,1100.0
2007-06-11,1148.0
2007-06-13,1145.0
2007-06-14,1130.0
2007-06-15,1131.0
2007-06-19,1120.0
2007-06-21,1100.0
2007-06-26,1080.0
2007-06-29,1080.0
2007-07-05,1080.0
