date,IMO
2022-03-01,107.9
2022-03-02,105.2
2022-03-03,105.0
2022-03-04,105.25
2022-03-07,104.15
2022-03-08,104.0
2022-03-09,105.9
2022-03-10,105.1
2022-03-11,107.8
2022-03-14,107.65
2022-03-15,106.95
2022-03-16,106.95
2022-03-17,105.1
2022-03-18,105.5
2022-03-21,108.0
2022-03-22,108.0
2022-03-23,104.95
2022-03-24,104.95
2022-03-25,105.05
2022-03-28,108.0
2022-03-29,107.95
2022-03-30,108.0
2022-03-31,108.0
2022-04-01,106.0
2022-04-04,106.0
2022-04-05,107.5
2022-04-06,107.5
2022-04-07,105.0
2022-04-08,105.3
2022-04-11,110.0
2022-04-12,110.0
2022-04-13,110.0
2022-04-14,105.1
2022-04-15,108.0
2022-04-18,109.0
2022-04-19,108.8
2022-04-20,112.75
2022-04-21,108.35
2022-04-22,108.35
2022-04-25,108.9
2022-04-26,109.0
2022-04-27,109.0
2022-04-28,109.0
2022-04-29,109.0
2022-05-04,108.25
2022-05-05,111.0
2022-05-06,111.0
2022-05-09,110.0
2022-05-10,109.7
2022-05-11,109.5
2022-05-12,107.0
2022-05-13,109.1
2022-05-16,108.5
2022-05-17,109.2
2022-05-18,109.2
2022-05-19,110.0
2022-05-20,108.5
2022-05-23,110.7
2022-05-24,107.5
2022-05-25,107.5
2022-05-26,109.1
2022-05-27,108.9
2022-05-30,113.0
2022-05-31,108.5
2022-06-01,108.95
2022-06-02,110.0
2022-06-03,109.0
2022-06-06,109.0
2022-06-07,109.0
2022-06-08,109.5
2022-06-09,109.0
2022-06-10,109.95
2022-06-13,109.95
2022-06-14,108.0
2022-06-15,107.0
2022-06-16,107.0
2022-06-17,106.55
2022-06-20,106.55
2022-06-21,107.05
2022-06-22,107.0
2022-06-23,107.0
2022-06-24,106.85
2022-06-27,105.0
2022-06-28,107.0
2022-06-29,105.0
2022-06-30,105.0
2022-07-01,105.0
2022-07-04,104.0
2022-07-05,106.45
2022-07-06,105.0
2022-07-07,105.0
2022-07-08,103.5
2022-07-12,102.0
2022-07-13,106.8
2022-07-14,107.0
2022-07-15,103.0
2022-07-18,106.0
2022-07-19,106.0
2022-07-20,106.0
2022-07-21,106.0
2022-07-22,106.0
2022-07-25,109.5
2022-07-26,108.0
2022-07-27,105.2
2022-07-28,103.05
2022-07-29,107.9
2022-08-01,103.5
2022-08-02,107.7
2022-08-03,107.7
2022-08-04,104.25
2022-08-05,107.3
2022-08-08,106.95
2022-08-09,106.95
2022-08-10,104.7
2022-08-11,104.7
2022-08-12,105.0
2022-08-15,106.0
2022-08-16,107.0
2022-08-17,107.0
2022-08-18,107.0
2022-08-19,105.6
2022-08-22,105.6
2022-08-23,104.3
2022-08-24,104.8
2022-08-25,105.0
2022-08-26,105.1
2022-08-29,105.1
2022-08-30,105.0
2022-08-31,105.1
2022-09-01,106.95
2022-09-02,106.95
2022-09-05,106.95
2022-09-06,106.85
2022-09-07,106.3
2022-09-08,106.0
2022-09-09,105.5
2022-09-12,106.95
2022-09-13,105.85
2022-09-14,107.5
2022-09-15,107.5
2022-09-16,105.0
2022-09-19,106.0
2022-09-20,105.0
2022-09-21,106.0
2022-09-22,106.0
2022-09-23,105.9
2022-09-26,104.4
2022-09-27,103.0
2022-09-28,103.0
2022-09-29,102.0
2022-09-30,101.0
2022-10-03,101.0
2022-10-04,105.75
2022-10-05,104.0
2022-10-06,104.0
2022-10-07,104.0
2022-10-11,105.0
2022-10-12,104.0
2022-10-13,105.7
2022-10-14,104.0
2022-10-17,103.7
2022-10-18,104.0
2022-10-19,102.8
2022-10-20,102.0
2022-10-21,99.0
2022-10-24,104.7
2022-10-25,104.0
2022-10-26,100.0
2022-10-27,99.0
2022-10-28,100.0
2022-10-31,100.0
2022-11-01,99.0
2022-11-02,101.0
2022-11-03,101.0
2022-11-04,100.0
2022-11-07,101.8
2022-11-08,99.5
2022-11-09,99.5
2022-11-10,99.5
2022-11-11,99.0
2022-11-14,101.5
2022-11-15,99.1
2022-11-16,101.55
2022-11-17,105.0
2022-11-21,100.0
2022-11-22,100.0
2022-11-23,101.8
2022-11-24,101.7
2022-11-25,101.2
2022-11-28,101.0
2022-11-29,100.3
2022-11-30,101.2
2022-12-01,101.2
2022-12-02,103.75
2022-12-05,101.5
2022-12-06,103.45
2022-12-07,103.0
2022-12-08,103.3
2022-12-09,101.2
2022-12-12,101.35
2022-12-13,103.0
2022-12-14,100.4
2022-12-15,103.4
2022-12-16,102.95
2022-12-19,99.9
2022-12-20,100.0
2022-12-21,100.0
2022-12-22,98.0
2022-12-23,98.0
2022-12-26,99.5
2022-12-27,100.0
2022-12-28,99.5
2022-12-29,96.0
2022-12-30,96.3
2023-01-02,96.5
2023-01-03,98.0
2023-01-04,96.55
2023-01-05,95.0
2023-01-06,95.0
2023-01-09,95.0
2023-01-10,95.0
2023-01-12,94.6
2023-01-13,95.05
2023-01-16,97.95
2023-01-17,97.98
2023-01-18,99.4
2023-01-19,99.0
2023-01-20,98.95
2023-01-23,99.4
2023-01-24,97.0
2023-01-25,95.0
2023-01-26,95.0
2023-01-27,95.0
2023-01-30,98.0
2023-01-31,98.0
2023-02-01,99.0
2023-02-02,99.0
2023-02-03,97.0
2023-02-06,98.5
2023-02-07,98.5
2023-02-08,97.0
2023-02-09,98.2
2023-02-10,96.6
2023-02-13,96.6
2023-02-14,98.87
2023-02-15,98.87
2023-02-16,98.0
2023-02-17,98.8
2023-02-20,97.2
2023-02-21,97.51
2023-02-22,98.85
2023-02-23,98.85
2023-02-24,97.0
2023-02-27,98.0
2023-02-28,98.0
2023-03-01,97.9
2023-03-02,97.5
2023-03-03,98.81
2023-03-06,98.5
2023-03-07,98.5
2023-03-08,98.5
2023-03-09,98.0
2023-03-10,98.84
2023-03-13,98.0
2023-03-14,98.0
2023-03-15,98.0
2023-03-16,98.99
2023-03-17,99.0
2023-03-20,98.75
2023-03-21,98.0
2023-03-22,98.5
2023-03-23,98.5
2023-03-24,98.0
2023-03-27,97.15
2023-03-28,98.5
2023-03-29,98.5
2023-03-30,98.0
2023-03-31,98.0
2023-04-03,98.0
2023-04-04,98.0
2023-04-05,98.0
2023-04-06,97.0
2023-04-07,97.5
2023-04-10,97.0
2023-04-11,97.0
2023-04-12,97.0
2023-04-13,98.0
2023-04-14,97.0
2023-04-17,97.06
2023-04-18,98.0
2023-04-19,98.0
2023-04-20,98.0
2023-04-21,96.0
2023-04-25,97.9
2023-04-26,97.9
2023-04-27,97.9
2023-04-28,95.0
2023-05-02,97.9
2023-05-03,97.0
2023-05-04,97.0
2023-05-05,95.8
2023-05-08,97.89
2023-05-09,97.0
2023-05-10,97.0
2023-05-11,97.1
2023-05-12,97.0
2023-05-15,97.4
2023-05-16,97.6
2023-05-17,97.0
2023-05-18,96.55
2023-05-19,96.0
2023-05-22,96.99
